,num_channels,num_classes,num_test,num_train,resolution_0,resolution_1,sequence_size
binary_alpha_digits_num_classes_10_num_dev_examples_200_num_test_examples_100_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_11_num_dev_examples_220_num_test_examples_66_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_11_num_dev_examples_220_num_test_examples_77_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_11_num_dev_examples_231_num_test_examples_66_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_12_num_dev_examples_240_num_test_examples_108_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_12_num_dev_examples_240_num_test_examples_120_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_12_num_dev_examples_240_num_test_examples_72_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_12_num_dev_examples_240_num_test_examples_96_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_13_num_dev_examples_299_num_test_examples_117_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_14_num_dev_examples_280_num_test_examples_98_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_15_num_dev_examples_300_num_test_examples_105_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_15_num_dev_examples_300_num_test_examples_90_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_16_num_dev_examples_320_num_test_examples_80_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_17_num_dev_examples_340_num_test_examples_119_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_18_num_dev_examples_360_num_test_examples_108_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_18_num_dev_examples_360_num_test_examples_90_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_19_num_dev_examples_380_num_test_examples_95_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_19_num_dev_examples_494_num_test_examples_95_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_20_num_dev_examples_400_num_test_examples_120_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_20_num_dev_examples_400_num_test_examples_120_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_20_num_dev_examples_560_num_test_examples_120_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_21_num_dev_examples_420_num_test_examples_105_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_21_num_dev_examples_630_num_test_examples_105_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_22_num_dev_examples_682_num_test_examples_110_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_23_num_dev_examples_460_num_test_examples_115_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_23_num_dev_examples_667_num_test_examples_115_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_24_num_dev_examples_480_num_test_examples_120_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_24_num_dev_examples_480_num_test_examples_120_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_25_num_dev_examples_675_num_test_examples_125_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_26_num_dev_examples_650_num_test_examples_130_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_26_num_dev_examples_650_num_test_examples_130_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_27_num_dev_examples_540_num_test_examples_135_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_27_num_dev_examples_756_num_test_examples_135_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_2_num_dev_examples_40_num_test_examples_22_resolution_32_num_channels_1,1,36,108,1296,16,16,1
