,num_channels,num_classes,resolution_0,resolution_1,sequence_size
Chucky,1,100,32,32,1
Hammer,3,7,400,300,1
Katze,1,6,120,160,-1
Kreatur,3,6,60,80,-1
Munster,1,10,28,28,1
Pedro,3,26,-1,-1,1
binary_alpha_digits,1,36,16,20,1
caltech101,3,102,-1,-1,1
caltech_birds2010,3,200,-1,-1,1
caltech_birds2011,3,200,-1,-1,1
cats_vs_dogs,3,2,-1,-1,1
cifar10,3,10,32,32,1
cifar100,3,100,32,32,1
colorectal_histology,3,8,150,150,1
deep_weeds,3,5,256,256,1
eurosat,3,10,64,64,1
fashion_mnist,1,10,28,28,1
horses_or_humans,3,2,300,300,1
mnist,1,10,28,28,1
